Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
Vanilla Thunder#1011,Vanilla Thunder,United-States,1uldJI6NOxlQ61O0zGpiuyTvbLBZAxyIK.png,,,ししろん、デビュー1周年おめでとう！いつもししろんが色んなゲームを挑戦している配信を楽しく見ています！おかげでたくさんの面白いゲームと出会えてました。楽しい時間、本当にありがとうございました！これからも応援しています！,
MimekaMime,MimekaMime,Spain,Bodan.png,,,"Shishiron~! Thanks for everything you have done this long time in hololive! Every stream is enjoyable and I appreciate the way everyone in SSRB is connected to you ( ´･ω･)♡ Im really happy for being part of this community, keep working hard! ☆",ししろん〜！ここまでホロライブでししろんがやってくれたすべてのことに感謝します！すべての配信が楽しいですし、SSRBのみんなとししろんとの一体感がとてもいいですね ( ´･ω･)♡ このコミュニティの一員になれて本当にハッピーです。これからも頑張ってください！ ☆
Mishima#2424 / @xx_mishima,Mishima,Hungary,1guUQGTCCyTTDDVurX1ZQSiHP-sCvdaJU.png,,,Shishiroooon! Thank you so much cheering up my days! I’m looking forward for a lot of similar year like this!,ししろーーーーん！ 毎日元気づけてくれてありがとう！これからもこの1年と同じように素晴らしい年になりますように。楽しみにしています！
Meawch#6104,Meawch,France,Bodan.png,,,"Thanks for entertain us with your skill and your cuteness, I'm a happy french SSRB",ぼたんちゃんのかわいさと腕前でみんなを楽しませてくれてありがとうございます。私はハッピーなフランス人SSRBです。
Noxa#1391/@noxa_4,Noxa,United-States,1gCmHXUz4j0j6U3y41fpnPfSSERlCsf92.jpg,,,"Congratulations on your debut anniversary, Botan! I'm glad to have met someone who is both cool and cute while having fun to whatever she plays or talks about on stream. Thank you for everything you have done for us. I will continue to support you as much as I can.",デビュー記念日おめでとう、ぼたんちゃん！配信で楽しそうにゲームをしたりお話ししたり、クールでかわいいぼたんちゃんのような人に出会えてよかったです。ぼたんちゃんがみんなにしてくれたすべてのことに感謝です。これからも可能な限りぼたんちゃんのことを応援し続けます。
@nnimaff,NimaF,Indonesia,1rT6x4zgkSU9a9mXoWh7LOkQ9E8obr2Bp.png,,,"La Lion~ thank you for always bring smile to me, and i will keep supporting you. Love you Shishiron",ららーいおん〜。いつも笑顔にしてくれてありがとうございます！いつまでも応援します。ししろん大好き。
Damonite#2712 / @DamonitePk,Damonite,Singapore,Bodan.png,RenderFinalSubmission - Damonite P.png,,"Happy Anniversary Botan!!! You are my favourite Vtuber (other than Suisei) and you're amazing at providing both entertainment and great gameplay. You also really helped me back up when I was feeling really low, thank you.",デビュー記念日おめでとう、ぼたんちゃん!!! ぼたんちゃんは一番のお気に入りのVTuberです(すいせいさんも)。エンターテインメント性とゲームの腕前の両方で魅せるてくれるのはすごいです。自分が落ち込んでいた時にも、ぼたんちゃんは心の支えになってくれました。ありがとう。
ChaoticSoda#9775,ChaoticSoda,Brazil,1WkbzW4lVHbUVbISsXmgMZTK0ML6RDZ4g.png,,,"She's so cool! was the first thing I thought when I found out about you. Now, months after your debut, I grew ever more fond of you Botan-chan, not only being able to see your cool side, but also your amazingly cute side. I can't wait to see what you'll do next! Happy 1st anniversary!",「彼女はなんてクールなんだ！」というのが初めてあなたのことを知った時の感想でした。デビューしてからしばらく時間が経ちましたが、ぼたんちゃんのことがどんどん好きになってきています。クールなだけでなく、びっくりするほどかわいい一面があるところも好きです。これからまたどんなことをしていってくれるのか、見るのが楽しみで待ちきれません！1周年おめでとう！
michei#3737/@michei_21,Michei[SSRB雪民],El-Salvador,1-gjpI_3Ku5RLXcAiQVe_xngrea2XDrvt.png,,,"Congratulations on your debut anniversary Botan! Watching your streams is always really fun, interesting and full of experiences. You bring happiness to my days! I love you, and I hope the love from all your fans reaches you through these messages. Thanks for you hardwork! I'll keep supporting you!!",ぼたんちゃん、デビュー記念日おめでとうございます！ぼたんちゃんの配信はいつも楽しく、興味深くていろいろな体験に満ちあふれています。毎日を幸せにしてくれています。大好きです、ファンのみんなの愛がメッセージを通してぼたんちゃんにに届いてくれたらと思います。いつもがんばってくれてありがとう！これからもサポートし続けます！！
Corneus/コロネウス#5558,Corneus/コロネウス,Indonesia,Corneus.png,,,Congratulations for 1 year anniversary! It's a lot of fun to watch Botan doing a lot of things from FPS to singing! let's keep doing our best for next year!,一周年おめでとうございます！ぼたんちゃんがFPSをやったり歌ったりするのを見るのが楽しいです！次の一年も頑張りましょう！
tacticaldragon#5472,Tacticaldragon57,Malaysia,1e4jFd0-Do5NiFH7vzofN6E6RuhlbIeQ7.png,,,Congrats on your 1st anniversary Botan! We SSRB will always support our cool and cute lion queen to the very end! I love you!,ぼたんちゃん、1周年おめでとうございます！我々SSRBは、クールで可愛らしい我がライオンクイーンを最後まで応援し続けます！I love you!
,Poppysicle,,Bodan.png,Botan_Profile.png,,"Botan, I'm glad you've been able to stream, grow, and accomplish so much over this last year. Your ability to always improve yourself and be the best you can be is really admirable and it pushes me to try my hardest and improve as well! You really inspire me and have brighten my days up with every stream. I'm glad to be a bodan, and glad I found you! So let's both keep striving to be the best we can be. Here's to 1 year and to many more! POI~!",
,Turtle,Taiwan,CJW.png,592-_TURTLEBotan.png,,,
