Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
Lkes#2239 / @SLkes_,Lkes,Colombia,1W4DEvWijeQUR7R15bAq7U1jSlHEImrTB.jpg,C007 F A4 - Lkes 【SSRB】.png,Twitter: @GMGhostArt / Devian Art: gmghost,"Con mucho cariño para ti Botan, siento mucho respeto por tus habilidades e inteligencia las cuales resaltas cada día en stream, te seguiré apoyando hasta el final, para mi eres la numero uno sin ninguna duda, muchas gracias por todo tu esfuerzo y dedicación en hololive.",ぼたんちゃんへたくさんの愛を贈ります。配信で見せるぼたんちゃんの才能と賢さに、大いに敬意を表します。最後まで応援しますよ、ぼたんちゃんは間違いなく私のナンバーワンなんですから。ホロライブでのぼたんちゃんの頑張りと献身に感謝です。
@mokemoke_88,もっけ,Japan,1cHII-mVB09Ygbvt7drjBlb1PIh7nasxv.png,,,一周年おめでとう！ししろんにとってこの一年間はどのようなものになったかな？私はししろんのおかげで毎日充実した一年間を送れたよ！ゲーム配信も歌枠も雑談も、全ての配信が楽しくてあっという間だった！いつも楽しい配信をありがとう。 雑談の時にししろんの物事に対する考え方を聞いたり、マシュマロ雑談の時相談に真摯に答えてくれたそんな姿が本当に尊敬できるし好きだなって。今じゃ立派な着火済みですよ。 私にはこうやって文章などでしか形にできないけど、それでも推したい気持ちが変わることは絶対にないから。ずっとずっと応援してるよ。 改めて一周年おめでとう！これからもどうぞよろしくね！大好きだぞー！！！,
Yuxie#0041,Yuxie,Malaysia,16kQruqI2XTPP4h4I-WbqwfTZTdXNyoDr.jpg,,,Thank you Shishiron for all the laughter and happiness you've brought to us SSRB! Wishing you a lot of joy and happiness for the future!,ししろん、笑い声と喜びをSSRBのみんなに届けてくれてありがとうございます！これからもさらなる喜びと幸せがあなたに訪れますように。
"Kitsu 木狐#0001, @k1gitsune",木狐,Japan,1SiU1vBtVl98ocNJaliIw32fQrebfGurt.jpg,,,もう一年になったね！おめでとう！これからもよろしく～　SSRB民のみんながついてるぞ！前に進もう！,
SSRBSukoya#3856 / @moarjtri,moarjtri,,1p9xCzfcN2RPm-0lyXYsy56YN3R3N4bDP.png,botan 18 - jjtri tee.png,,"Fierce Queen Botan! Congrats on your 1 year anniversary! Hope for many many more and I'll be there, cheering for you! It makes me smile hearing you have so much fun during streams and your singing is wonderful! You have such a beautiful soul ♥ I wish you all the best! Poi ~",獰猛な女王ぼたん様！1周年おめでとうございます！来年も再来年も、もっとお祝いを続けていきたいですね。その時もそばにいて応援しますよ！配信でぼたんちゃんが楽しんでいるのを見ると自分も笑顔になれます。歌声も素晴らしいです！ぼたんちゃんは本当に心がきれいな人です ♥ 成功を願っています！ボイ〜
みんと（みんと#1943）/ みんと（@310__chocolate）,みんと,Japan,1ExghtrsxxftNMncNGTuh6PAEPGO-4o1R.png,,,デビュー1周年おめでとう！ししろんの影響を受けて、生まれてはじめてFPSを始めました。まだまだ下手ですが、日々楽しく遊んでいます。SSRB民としてリスポーンを繰り返しながら推していきたいと思います。,
@SanzeGorouART,三世吾郎,Taiwan,1U0ShfsJ.jpg,五期生一周年繪圖-SHISHIRO - 三世吾郎.png,,恭喜出道一周年!!,
Say Oh You#4990,SayoHyou,Mexico,1KGYjmWU71R5uTNI2gSmWazL2g9zcx9Qd.png,botan aniversario - Abigail Casanova.jpg,,Congratulations in this first year! it has been a funt time since I crossed paths with you in youtube! lets go for more fun in the future!,最初の1年の節目、おめでとうございます！Youtubeであなたと偶然出会ってからとても楽しい時間を過ごしてきました。これからも楽しいことを一緒にたくさんやっていきましょう！
ねこた#5712/@Nekoo_berg,ねこた,Japan,15CKmRsF1WWoixjBowfNaOZnvQcB-7PWR.jpg,,,ししろんデビュー1周年おめでとう🎉 的確に敵を撃ち抜く姿、サクサクゲームをクリアしていったり、いろいろな事に楽しそうに笑うししろんが大好きです！ これからも楽しい時間を過ごせたらなと思いますすす 改めてデビューから1年、おめでとう〜！！2年目もよろしくね！,
コウ.exe#0678,コウ.exe,Japan,1sJhDRqFd_FmIIEH0Tsjd_nZxm1Uqj8g1.png,,,ししろん1周年おめでとう〜！ししろんと出会ってからもう1年経つんだね短かったような長かったようなって感じだね〜今までもこれからもずっと大好きだし応援してるよ！いつもありがとう〜これからもよろしくね！,
Polska#7244,Гражданин Польши,Russia,1wvVwqVRzwzyuJuBYPIcwV4ufc0HA8UC6.png,,,"Я хочу сказать спасибо. Спасибо, что появились в моей жизни и принесли в нее радость. Ваш искренний смех, спокойствие и невозмутимость покорили меня. И я хочу пожелать оставаться всегда счастливой, и покорять новые горизонты!",感謝の言葉を贈ります。私の人生に現れてくれて、そして幸せをもたらしてくれてありがとうございます。あなたの偽りのない正直な笑い声、落ち着き、冷静沈着さ、そんなところに私は惹かれました。いつも幸せでありますように、そしてさらなる高みへ羽ばたいていけるよう祈っています！
Medusa_dai#7905/絶対魔王様Medusa_dai@1K1AD,絶対魔王様Medusa_dai,Japan,1u0I5nWGWJyJpBTa0fP-98D7PPX9dFlG8.png,,,「１周年おめでとう」今日からこの場所からまた始まるあなたと幸せ見つけるために道しるべを足跡を新しく作りながら,
ポキ男#1839,ポキ男,Japan,14RorxhSF_6oAAD8aBaXr3O9e7aehiPtB.jpg,,,これからもししろんを応援してるで！！,
さるーぱっぱ#5575,さるーぱ【変更不可】【着火済みSSRB】♌,Japan,1Ri2L5PU8Orc6bI4P9YA7bHxcZTbmCMb7.png,,,"ようやく１年、もう１年。時間が経つのは早いですね。ししろんに出会ってから日常が一変しました。私がまさかロシアニキ達と交流する事になったのも全てししろんのおかげです。１周年お(･∀･)め(･∀･)で(･∀･)と(･∀･)う！これからも「命」続く限り応援していきますね！(,,ﾟДﾟ) ｶﾞﾝｶﾞﾚ!",
@DivePart,Eternal DIVE PART II,,Bodan.png,,,"Congratulations on your 1st debut anniversary, Shishiron!!! I am glad to have joined this SSRB family. Thank you for bringing so much fun SSRB are so proud of you!! Let’s achieve more in the future!!! Love what you do, do what you love. We will always support you!!! (｀･ω･´)ゞ ホワイトライオン、最高です！！",1周年記念おめでとうございます、ししろん!!! SSRBファミリーの一員になれて本当によかったです。たくさんの楽しみをもたらしてくれてありがとうございます。SSRBのみんなはあなたのことを誇りに思っています!! これからも一緒にいろんなことを成し遂げていきましょう!!! 「好きなことをやろう、そしてやっていることを好きになろう」。私たちはいつでもあなたを応援しています!!! (｀･ω･´)ゞ ホワイトライオン、最高です！！
今日から金使うこーへー#6963,今日から金使うこーへー,Japan,1kDmFdayzrjKV9HZM99k4zFKSxGA9vHKY.png,,,１周年おめでとうございます！！この１年大変なことも沢山あったと思います、それでもいつも楽しい配信をしてくれてありがとうございます！SSRBとして協力できるところは協力しますので、これからもよろしくお願いします！！,
@kest446,Kest446,Taiwan,1Itm7Yrl3Y_KeVdhxgXklkcPjZQI4GJta.png,,,ししろん一周年デビューおめでとう!いつも楽しい配信ありがとう!これから何年もよろしく~,
ひろゆき(ひろゆき#6471)/ねがみゃー(@mgmg_tukune),ネガティブフェイスかみゃー,Japan,1GDr2ftl6yjbKHt_PyZsVi8aLF0aatCK1.png,D022526C-BB0E-4E6C-8395-1F3F849527D9 - ネガティブフェイスかみゃー.png,ネガティブフェイスかみゃー/ねがみゃー(@mgmg_tukune),ぼたんちゃん1周年おめでとう！これからも沢山素敵な景色見ていきましょう！,
